Code,Description
"1","Alaska"
"2","Hawaii"
"3","Puerto Rico"
"4","U.S. Virgin Islands"
"5","U.S. Pacific Trust Territories And Possessions"
"10","U.S.A. (Including Territories And Possessions)"
"11","Connecticut"
"12","Maine"
"13","Massachusetts"
"14","New Hampshire"
"15","Rhode Island"
"16","Vermont"
"21","New Jersey"
"22","New York"
"23","Pennsylvania"
"31","Delaware"
"32","District of Columbia"
"33","Florida"
"34","Georgia"
"35","Maryland"
"36","North Carolina"
"37","South Carolina"
"38","Virginia"
"39","West Virginia"
"41","Illinois"
"42","Indiana"
"43","Michigan"
"44","Ohio"
"45","Wisconsin"
"51","Alabama"
"52","Kentucky"
"53","Mississippi"
"54","Tennessee"
"61","Iowa"
"62","Kansas"
"63","Minnesota"
"64","Missouri"
"65","Nebraska"
"66","North Dakota"
"67","South Dakota"
"71","Arkansas"
"72","Louisiana"
"73","Oklahoma"
"74","Texas"
"81","Arizona"
"82","Colorado"
"83","Idaho"
"84","Montana"
"85","Nevada"
"86","New Mexico"
"87","Utah"
"88","Wyoming"
"91","California"
"92","Oregon"
"93","Washington"
"106","Belize"
"110","Costa Rica"
"118","El Salvador"
"127","Guatemala"
"131","Honduras"
"148","Mexico"
"153","Nicaragua"
"160","Panama Canal Zone"
"162","Panama Republic"
"174","San Andres Island"
"202","Anguilla"
"204","Bahamas"
"205","Barbados"
"206","Antigua and Barbuda"
"207","Bermuda-UK"
"209","Carriacou"
"210","Cayman Brac"
"219","Cuba"
"221","Dominica"
"224","Dominican Republic"
"233","Cayman Islands"
"234","Grand Turk"
"235","Guadeloupe-France"
"236","St. Martin - France"
"237","St. Barthelemy - France"
"238","Haiti"
"243","Jamaica"
"252","Martinique-France"
"256","Montserrat"
"257","Mustique"
"259","Netherlands Antilles"
"261","Nevis"
"266","Palm Island"
"267","Providenciales"
"268","Puerto Rico"
"273","Grenada and South Grenadines"
"274","Antigua"
"275","St. Kitts and Nevis"
"276","St. Lucia"
"277","Aruba"
"279","St. Vincent and North Grenadines"
"280","Trinidad and Tobago"
"281","Turks and Caicos Islands-UK"
"282","British Virgin Islands-UK"
"283","U.S. Virgin Islands"
"303","Argentina"
"312","Bolivia"
"316","Brazil"
"324","Chile"
"327","Colombia"
"337","Ecuador"
"340","Falkland Islands-UK"
"344","French Guiana-France"
"350","Guyana"
"365","Paraguay"
"368","Peru"
"379","Surinam"
"385","Uruguay"
"388","Venezuela"
"401","Albania"
"402","Andorra"
"403","Austria"
"405","Armenia"
"407","Azerbaijan"
"409","Belgium"
"410","Bosnia and Herzegovina"
"411","Bulgaria"
"413","Belarus"
"415","Croatia"
